# step time eta|J|^2
378 0.249009 0.015496
628 0.499745 0.022584
876 0.749035 0.029299
1125 0.999663 0.035449
1373 1.249405 0.040354
1622 1.499848 0.043577
1871 1.749581 0.047224
2121 1.999544 0.050730
2372 2.249851 0.053462
2623 2.499768 0.056854
2874 2.749579 0.059564
3125 2.999466 0.062940
3376 3.249475 0.065576
3627 3.499550 0.068508
3878 3.749585 0.070593
4129 3.999487 0.073326
4380 4.249208 0.075273
4632 4.499725 0.077492
4883 4.749081 0.079956
5135 4.999362 0.081955
5387 5.249684 0.083914
5638 5.499080 0.085510
