# step time eta|J|^2
378 0.249342 0.005611
626 0.499272 0.014245
626 0.499272 0.014245
874 0.749925 0.015100
1121 0.999311 0.040127
1370 1.249986 0.013254
1619 1.499551 0.033940
1870 1.749870 0.010960
2121 1.999064 0.032135
2374 2.249282 0.012198
2628 2.499771 0.013152
2882 2.749756 0.013205
3136 2.999404 0.012967
3391 3.249775 0.033373
3646 3.499864 0.011651
3901 3.749609 0.032221
4157 3.999936 0.031855
4413 4.249831 0.031168
4669 4.499277 0.030853
4926 4.749300 0.011270
5183 4.999056 0.031841
5441 5.249612 0.031537
5699 5.499957 0.030940
5956 5.749041 0.011171
6215 5.999740 0.030721
6473 6.249209 0.030698
6732 6.499472 0.011062
6991 6.749578 0.029795
7250 6.999442 0.010154
7510 7.249961 0.009910
7769 7.499239 0.028672
8029 7.749287 0.029065
8289 7.999230 0.029494
8549 8.249117 0.029707
8810 8.499910 0.010734
9070 8.749657 0.010596
9330 8.999261 0.010398
9591 9.249616 0.028734
9852 9.499731 0.010112
10113 9.749624 0.028499
10374 9.999352 0.010177
10636 10.249930 0.010261
10897 10.499484 0.028749
11159 10.749939 0.028624
11420 10.999364 0.010109
11682 11.249638 0.009980
11944 11.499773 0.009894
12206 11.749759 0.009862
12468 11.999605 0.009866
12730 12.249333 0.009890
12993 12.499919 0.028012
13255 12.749474 0.028005
13518 12.999908 0.009922
13780 13.249313 0.009898
14043 13.499580 0.027785
14306 13.749749 0.009777
14569 13.999812 0.027554
14832 14.249770 0.009662
15095 14.499624 0.027427
15358 14.749386 0.009646
15621 14.999068 0.027445
15885 15.249632 0.027464
16148 15.499183 0.009715
16412 15.749619 0.009704
16676 15.999983 0.009669
16939 16.249317 0.027244
17203 16.499508 0.027157
17467 16.749605 0.027099
17731 16.999614 0.027080
17995 17.249545 0.027087
18259 17.499412 0.027096
18523 17.749222 0.027091
18788 17.999923 0.009573
19052 18.249618 0.009549
19316 18.499245 0.009520
19581 18.749743 0.026876
19845 18.999220 0.026839
20110 19.249566 0.009483
20375 19.499845 0.026829
20639 19.749119 0.026833
20904 19.999282 0.009515
21169 20.249393 0.026800
21434 20.499449 0.009500
21699 20.749446 0.026714
21964 20.999380 0.009466
22229 21.249249 0.026637
22495 21.499996 0.026619
22760 21.749740 0.009458
23025 21.999429 0.026611
23290 22.249067 0.009478
23556 22.499598 0.009482
23821 22.749138 0.026571
24087 22.999569 0.026540
24353 23.249944 0.026506
24618 23.499322 0.009454
24884 23.749585 0.009451
25150 23.999792 0.009454
25416 24.249948 0.009461
25681 24.499116 0.026433
25947 24.749180 0.026423
26213 24.999198 0.026405
26479 25.249170 0.026380
26745 25.499095 0.026353
27012 25.749909 0.009461
27278 25.999735 0.009461
27544 26.249511 0.009464
27810 26.499241 0.009471
28077 26.749865 0.026289
28343 26.999509 0.026281
28609 27.249113 0.026266
28876 27.499613 0.009487
29142 27.749133 0.009484
29409 27.999547 0.026204
29676 28.249916 0.009482
29942 28.499305 0.009485
30209 28.749589 0.026171
30476 28.999833 0.009498
30742 29.249102 0.009504
31009 29.499272 0.026147
31276 29.749404 0.009508
31544 30.000000 0.010794
