# step time eta|J|^2
379 0.249945 0.000638
628 0.499504 0.001302
877 0.749663 0.001944
1125 0.999156 0.002508
1374 1.249814 0.002869
1622 1.499201 0.002932
1872 1.749902 0.002816
2122 1.999820 0.002826
2372 2.249083 0.002822
2624 2.499962 0.002880
2875 2.749777 0.003156
3126 2.999700 0.003012
3377 3.249790 0.003089
3627 3.499030 0.003008
3878 3.749313 0.002803
4129 3.999504 0.002938
4380 4.249498 0.002806
4631 4.499267 0.003008
4883 4.749873 0.003062
5134 4.999475 0.002927
5385 5.249196 0.003073
5636 5.499046 0.002907
5888 5.749928 0.002908
6139 5.999753 0.003080
6390 6.249482 0.002954
6641 6.499142 0.003137
6893 6.749786 0.003144
7144 6.999464 0.002966
7395 7.249170 0.003083
7647 7.499871 0.003038
7898 7.749544 0.002858
8149 7.999178 0.003011
8401 8.249784 0.003042
8652 8.499397 0.002933
8903 8.749033 0.003132
9155 8.999695 0.003161
9406 9.249378 0.003007
9657 9.499052 0.003149
9909 9.749691 0.003125
10160 9.999296 0.002951
10412 10.249858 0.002942
10663 10.499404 0.003099
10915 10.749947 0.003110
11166 10.999517 0.002973
11417 11.249107 0.003149
11669 11.499699 0.003168
11920 11.749287 0.003029
12172 11.999845 0.003041
12423 12.249375 0.003207
12675 12.499868 0.003214
12926 12.749351 0.003062
13178 12.999830 0.003066
13429 13.249326 0.003227
13681 13.499829 0.003237
13932 13.749344 0.003091
14184 13.999851 0.003106
14435 14.249354 0.003283
14687 14.499839 0.003305
14938 14.749317 0.003169
15190 14.999783 0.003189
15441 15.249256 0.003366
15693 15.499730 0.003382
15944 15.749218 0.003239
16196 15.999707 0.003254
16447 16.249206 0.003428
