# step time eta|J|^2
379 0.249945 0.000638
628 0.499504 0.001301
877 0.749663 0.001939
1125 0.999156 0.002496
1374 1.249814 0.002832
1622 1.499201 0.002915
1872 1.749902 0.002821
2122 1.999820 0.002792
2372 2.249082 0.002788
2624 2.499959 0.002854
2875 2.749769 0.003135
3126 2.999701 0.002984
3377 3.249813 0.003047
3627 3.499056 0.002942
3878 3.749310 0.002719
4129 3.999469 0.002840
4380 4.249466 0.002726
4631 4.499280 0.002929
4883 4.749942 0.002987
5134 4.999570 0.002862
5385 5.249272 0.003007
5636 5.499075 0.002839
5888 5.749923 0.002830
6139 5.999756 0.002985
6390 6.249531 0.002853
6641 6.499255 0.003011
6893 6.749947 0.003004
7144 6.999629 0.002829
7395 7.249297 0.002939
7647 7.499950 0.002904
7898 7.749603 0.002742
8149 7.999257 0.002887
8401 8.249918 0.002907
8652 8.499600 0.002790
8903 8.749288 0.002958
9155 8.999965 0.002971
9406 9.249632 0.002824
9657 9.499273 0.002953
9909 9.749882 0.002935
10160 9.999477 0.002776
10411 10.249062 0.002905
10663 10.499645 0.002902
10914 10.749243 0.002765
11166 10.999842 0.002774
11417 11.249446 0.002925
11668 11.499035 0.002795
11920 11.749593 0.002805
12171 11.999129 0.002951
12423 12.249639 0.002957
12674 12.499144 0.002822
12926 12.749643 0.002825
13177 12.999153 0.002965
13429 13.249662 0.002966
13680 13.499177 0.002832
13932 13.749678 0.002837
14183 13.999176 0.002982
14435 14.249657 0.002993
14686 14.499136 0.002869
14938 14.749603 0.002884
15189 14.999076 0.003034
15441 15.249546 0.003048
15692 15.499028 0.002923
15944 15.749507 0.002934
16196 15.999990 0.002943
16447 16.249480 0.003087
16699 16.499964 0.003096
16950 16.749456 0.002971
17202 16.999945 0.002984
17453 17.249445 0.003133
17705 17.499946 0.003148
17956 17.749461 0.003029
18208 17.999978 0.003046
18459 18.249508 0.003198
18710 18.499045 0.003078
18962 18.749582 0.003093
19213 18.999131 0.003242
19465 19.249682 0.003255
19716 19.499247 0.003134
19968 19.749816 0.003149
20219 19.999403 0.003300
20471 20.249998 0.003316
20722 20.499611 0.003197
20973 20.749236 0.003349
21225 20.999868 0.003365
21476 21.249517 0.003245
21727 21.499178 0.003396
21979 21.749847 0.003413
22230 21.999535 0.003294
22481 22.249239 0.003446
22733 22.499954 0.003462
22984 22.749690 0.003342
23235 22.999442 0.003493
23486 23.249208 0.003374
23738 23.499984 0.003390
23989 23.749779 0.003541
24240 23.999588 0.003422
24491 24.249412 0.003573
24742 24.499252 0.003455
24993 24.749110 0.003606
25245 24.999981 0.003622
25496 25.249874 0.003502
25747 25.499785 0.003652
25998 25.749713 0.003532
26249 25.999660 0.003682
26500 26.249624 0.003562
26751 26.499607 0.003711
27002 26.749610 0.003591
27253 26.999635 0.003740
27504 27.249681 0.003620
27755 27.499751 0.003769
28006 27.749843 0.003650
28257 27.999960 0.003799
28507 28.249104 0.003813
28758 28.499271 0.003692
29009 28.749464 0.003841
29260 28.999684 0.003719
29511 29.249933 0.003867
29761 29.499213 0.003881
30012 29.749518 0.003760
30264 30.000000 0.003774
