# step time eta|J|^2
379 0.249945 0.000638
628 0.499504 0.001302
877 0.749663 0.001944
1125 0.999156 0.002508
1374 1.249814 0.002869
1622 1.499201 0.002932
1872 1.749902 0.002816
2122 1.999820 0.002826
2372 2.249083 0.002822
2624 2.499962 0.002880
2875 2.749777 0.003156
3126 2.999700 0.003012
3377 3.249790 0.003089
3627 3.499030 0.003008
3878 3.749313 0.002803
4129 3.999504 0.002938
4380 4.249498 0.002806
4631 4.499267 0.003008
4883 4.749873 0.003062
5134 4.999475 0.002927
5385 5.249196 0.003073
5636 5.499046 0.002907
5888 5.749928 0.002908
6139 5.999753 0.003080
6390 6.249482 0.002954
6641 6.499142 0.003137
6893 6.749786 0.003144
7144 6.999464 0.002966
7395 7.249170 0.003083
7647 7.499871 0.003038
7898 7.749544 0.002858
8149 7.999178 0.003011
8401 8.249784 0.003042
8652 8.499397 0.002933
8903 8.749033 0.003132
9155 8.999695 0.003161
9406 9.249378 0.003007
9657 9.499052 0.003149
9909 9.749691 0.003125
10160 9.999296 0.002951
10412 10.249858 0.002942
10663 10.499404 0.003099
10915 10.749947 0.003110
11166 10.999517 0.002973
11417 11.249107 0.003149
11669 11.499699 0.003168
11920 11.749287 0.003029
12172 11.999845 0.003041
12423 12.249375 0.003207
12675 12.499868 0.003214
12926 12.749351 0.003062
13178 12.999830 0.003066
13429 13.249326 0.003227
13681 13.499829 0.003237
13932 13.749344 0.003091
14184 13.999851 0.003106
14435 14.249354 0.003283
14687 14.499839 0.003305
14938 14.749317 0.003169
15190 14.999783 0.003189
15441 15.249256 0.003366
15693 15.499730 0.003382
15944 15.749218 0.003239
16196 15.999707 0.003254
16447 16.249206 0.003428
16699 16.499701 0.003447
16950 16.749204 0.003307
17202 16.999702 0.003328
17453 17.249208 0.003510
17705 17.499711 0.003535
17956 17.749227 0.003399
18208 17.999744 0.003424
18459 18.249275 0.003614
18711 18.499806 0.003641
18962 18.749347 0.003503
19214 18.999887 0.003528
19465 19.249436 0.003715
19717 19.499984 0.003740
19968 19.749544 0.003602
20219 19.999112 0.003796
20471 20.249682 0.003826
20722 20.499268 0.003689
20974 20.749858 0.003719
21225 20.999463 0.003917
21476 21.249077 0.003776
21728 21.499696 0.003804
21979 21.749332 0.004003
22231 21.999976 0.004032
22482 22.249639 0.003890
22733 22.499315 0.004090
22985 22.749999 0.004120
23236 22.999703 0.003977
23487 23.249422 0.004182
23738 23.499156 0.004039
23990 23.749901 0.004071
24241 23.999665 0.004279
24492 24.249445 0.004134
24743 24.499241 0.004344
24994 24.749052 0.004198
25246 24.999876 0.004229
25497 25.249721 0.004440
25748 25.499583 0.004289
25999 25.749462 0.004501
26250 25.999360 0.004349
26501 26.249275 0.004562
26752 26.499209 0.004408
27003 26.749163 0.004622
27254 26.999136 0.004466
27505 27.249131 0.004681
27756 27.499148 0.004522
28007 27.749190 0.004739
28258 27.999259 0.004579
28509 28.249355 0.004796
28760 28.499478 0.004633
29012 28.749136 0.004661
29279 28.999411 0.004864
29565 29.249800 0.004883
29871 29.499539 0.004900
30201 29.749879 0.004919
30556 29.999905 0.004809
30939 30.249911 0.004960
31351 30.499690 0.004981
31795 30.749649 0.005002
32281 30.999898 0.005023
